"app_version","sdk_version","domain","session_count"
"21.15.0.1","4.7.0","api.textnow.me",8
"21.24.1.0","4.7.0","api.textnow.me",23
"21.22.0.0","4.7.0","api.textnow.me",23
"21.32.0.0","4.7.0","api.textnow.me",138
"21.37.0.0","4.9.3","api.textnow.me",151
"21.36.0.0","4.9.3","api.textnow.me",228
"21.5.0.0","4.6.5","api.textnow.me",243
"21.5.1.0","4.6.5","api.textnow.me",273
"21.9.0.0","4.6.5","api.textnow.me",358
"21.9.1.0","4.6.5","api.textnow.me",419
"21.30.0.0","4.7.0","api.textnow.me",435
"21.2.0.0","4.6.3","api.textnow.me",726
"21.37.0.1","4.9.3","api.textnow.me",774
"21.15.1.0","4.7.0","api.textnow.me",2637
"21.15.0.2","4.7.0","api.textnow.me",3301
"21.23.0.0","4.7.0","api.textnow.me",3679
"21.23.1.0","4.7.0","api.textnow.me",4587
"21.7.0.2","4.6.5","api.textnow.me",5284
"21.9.2.0","4.6.5","api.textnow.me",6122
"21.16.0.1","4.7.0","api.textnow.me",6252
"21.26.0.0","4.7.0","api.textnow.me",6293
"21.19.0.0","4.7.0","api.textnow.me",7493
"21.6.0.1","4.6.5","api.textnow.me",8049
"21.13.0.1","4.7.0","api.textnow.me",8592
"21.4.1.0","4.6.5-SNAPSHOT","api.textnow.me",8653
"21.12.0.0","4.7.0","api.textnow.me",8745
"21.10.0.1","4.7.0","api.textnow.me",10045
"21.22.0.1","4.7.0","api.textnow.me",10732
"21.17.0.0","4.7.0","api.textnow.me",12223
"21.18.0.0","4.7.0","api.textnow.me",13134
"21.11.0.1","4.7.0","api.textnow.me",14147
"21.28.0.1","4.7.0","api.textnow.me",15673
"21.29.1.1","4.7.0","api.textnow.me",15882
"21.21.0.1","4.7.0","api.textnow.me",17135
"21.8.0.1","4.6.5","api.textnow.me",18220
"21.27.0.0","4.7.0","api.textnow.me",18748
"21.20.0.0","4.7.0","api.textnow.me",18754
"21.25.0.0","4.7.0","api.textnow.me",19491
"21.24.1.1","4.7.0","api.textnow.me",20064
"21.29.0.1","4.7.0","api.textnow.me",31705
"21.30.1.0","4.7.0","api.textnow.me",44467
"21.32.0.1","4.7.0","api.textnow.me",44609
"21.31.0.2","4.7.0","api.textnow.me",47402
"21.37.0.2","4.9.3","api.textnow.me",54771
"21.34.0.0","4.9.3","api.textnow.me",79620
"21.35.0.0","4.9.3","api.textnow.me",81388
"21.33.0.1","4.7.0","api.textnow.me",96535
"21.36.0.1","4.9.3","api.textnow.me",131021
"21.39.0.1","4.9.3","api.textnow.me",151456
"21.14.0.0","4.7.0","api.textnow.me",229842
"21.38.0.1","4.9.3","api.textnow.me",394448
"21.22.0.0","4.7.0","event.textnow.me",9
"21.24.1.0","4.7.0","event.textnow.me",11
"21.32.0.0","4.7.0","event.textnow.me",34
"21.37.0.0","4.9.3","event.textnow.me",52
"21.36.0.0","4.9.3","event.textnow.me",83
"21.30.0.0","4.7.0","event.textnow.me",114
"21.37.0.1","4.9.3","event.textnow.me",182
"21.23.0.0","4.7.0","event.textnow.me",998
"21.23.1.0","4.7.0","event.textnow.me",1207
"21.26.0.0","4.7.0","event.textnow.me",1749
"21.19.0.0","4.7.0","event.textnow.me",1957
"21.22.0.1","4.7.0","event.textnow.me",3048
"21.18.0.0","4.7.0","event.textnow.me",3669
